།_  དེ  བཞིན 	ཐུན་མོང 	མ་ཡིན་པ 	ལ 	བསྟོད་པ 	།_ 	དེ 	བཞིན 	གཤེགས་པ 	ཐམས་ཅད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	ཐུན་མོང  མ་ཡིན་པ  ལ  བསྟོད་པ  །_  དེ  བཞིན  གཤེགས་པ  ཐམས་ཅད་ལ  ཕྱག  འཚལ་ལོ 
 དེ  ངོ་མཚར་ལགས 						དེ 	ངོ་མཚར་ལགས 	།_། 	དང་པོ 	-ར 	ཁྱོད་ལ 	bstod tshogs ka_.txt	     དེ  ངོ་མཚར་ལགས  །_།  དང་པོ  -ར  ཁྱོད་ལ 
ཡུན་རིང  དེ ་ལྟ་བུར 	-ར་ཁྱོད 	།_། 	སྐྱོན 	མཁྱེན 	ཡུན་རིང 	དེ	་ལྟ་བུར 	།_། 	བཞུགས 	མཛད 	ཐུགས་རྗེ་ཆེ་ལ་བགྱི 	bstod tshogs ka_.txt	-ར་ཁྱོད  །_།  སྐྱོན  མཁྱེན  ཡུན་རིང  དེ ་ལྟ་བུར  །_།  བཞུགས  མཛད  ཐུགས་རྗེ་ཆེ་ལ་བགྱི 
།_།  དེ  ལྟར 					།_། 	དེ 	ལྟར 	སྡུག་བསྔལ 	བཏང་སྙོམས་ནས 	།_། 	དབེན་པ 	bstod tshogs ka_.txt	    །_།  དེ  ལྟར  སྡུག་བསྔལ  བཏང་སྙོམས་ནས  །_།  དབེན་པ 
།_།  དེ  ལྟར་གྱི་ཡང 	གསལ་བ 	-ར 	བྱ་བ 	-འི་ཕྱིར 	།_། 	དེ 	ལྟར་གྱི་ཡང 	བཟོད་པ 	-ར་མཛད 	།_། 	དབེན་པ 	bstod tshogs ka_.txt	གསལ་བ  -ར  བྱ་བ  -འི་ཕྱིར  །_།  དེ  ལྟར་གྱི་ཡང  བཟོད་པ  -ར་མཛད  །_།  དབེན་པ 
 དེ ་བ 						དེ	་བ 	སྤངས 	གྱུར་ཁྱོད 	།_། 	མང་པོ 	bstod tshogs ka_.txt	     དེ ་བ  སྤངས  གྱུར་ཁྱོད  །_།  མང་པོ 
 དེ  ཁྱོད 	-འི 	ནང་དུ 	བཞུགས་པ་གང 	།_། 		དེ 	ཁྱོད 	ཐུགས་རྗེ 	དུས 	འདས་པ 	།_། 	bstod tshogs ka_.txt	-འི  ནང་དུ  བཞུགས་པ་གང  །_།   དེ  ཁྱོད  ཐུགས་རྗེ  དུས  འདས་པ  །_། 
 དེ ་བ་ལ 						དེ	་བ་ལ 	བརྟེན་ནས 	།_། 	ད 	ལྟར 	bstod tshogs ka_.txt	     དེ ་བ་ལ  བརྟེན་ནས  །_།  ད  ལྟར 
 དེ  ཆགས་པས 						དེ 	ཆགས་པས 	།_། 	རང་དང 	མཐུན་པ 	-ས 	bstod tshogs ka_.txt	     དེ  ཆགས་པས  །_།  རང་དང  མཐུན་པ  -ས 
སྔོན་ནི  དེ ་བཞིན 	དམ་པ་ནི 	མ 	བརྙེས་པས 	།_། 	སྔོན་ནི 	དེ	་བཞིན 	དཀའ 	སྤྱོད་མིན 	།_། 	སངས 	bstod tshogs ka_.txt	དམ་པ་ནི  མ  བརྙེས་པས  །_།  སྔོན་ནི  དེ ་བཞིན  དཀའ  སྤྱོད་མིན  །_།  སངས 
།_།  དེ ་ནི 	།_། 	ཉིད་ཀྱི 	ཡོན་ཏན 	བརྗོད་པ་གང 	།_། 	དེ	་ནི 	བཞེད 	སྤྱོད 	མི 	མངའ་བ 	bstod tshogs ka_.txt	།_།  ཉིད་ཀྱི  ཡོན་ཏན  བརྗོད་པ་གང  །_།  དེ ་ནི  བཞེད  སྤྱོད  མི  མངའ་བ 
ཉམས  དེ  -ས་ནི་མཛད 	དཀའ་བ་རྣམས 	།_། 	སྤྱོད་པ 	མ 	ཉམས 	དེ 	-ས་ནི་མཛད 	།_། 	ཁྱོད་ཀྱིས 	ཉིད 	དོན་ལས 	bstod tshogs ka_.txt	དཀའ་བ་རྣམས  །_།  སྤྱོད་པ  མ  ཉམས  དེ  -ས་ནི་མཛད  །_།  ཁྱོད་ཀྱིས  ཉིད  དོན་ལས 
།_།  དེ  ཉིད་དེ་ནི 	ལ 	-འང 	དྲང་བ 	-ར་མཛད 	།_། 	དེ 	ཉིད་དེ་ནི 	མི 	འཐད་དོ 	།_། 	དེ 	bstod tshogs ka_.txt	ལ  -འང  དྲང་བ  -ར་མཛད  །_།  དེ  ཉིད་དེ་ནི  མི  འཐད་དོ  །_།  དེ 
 དེ  ཆགས་པ་མིན 						དེ 	ཆགས་པ་མིན 	།_། 	ཆགས་པ 	ཡོད་དེ 	དངོས 	bstod tshogs ka_.txt	     དེ  ཆགས་པ་མིན  །_།  ཆགས་པ  ཡོད་དེ  དངོས 
 དེ ་ཡིས 						དེ	་ཡིས 	སྤྱོད་ལེགས་མང 	།_། 	གང་གི 	སྨྲ་བ 	bstod tshogs ka_.txt	     དེ ་ཡིས  སྤྱོད་ལེགས་མང  །_།  གང་གི  སྨྲ་བ 
 དེ ན་པ་དང་ནི 						དེ	ན་པ་དང་ནི 	སྙན་པ་དང 	།_། 	རབ 	གསལ་གཉིས 	bstod tshogs ka_.txt	     དེ ན་པ་དང་ནི  སྙན་པ་དང  །_།  རབ  གསལ་གཉིས 
 དེ ་བླག 						དེ	་བླག 	རྟོགས་པ་དང 	།_། 	སྣ 	ཚོགས 	bstod tshogs ka_.txt	     དེ ་བླག  རྟོགས་པ་དང  །_།  སྣ  ཚོགས 
གསུང་ནི  དེ ་ལྟ་བུ 	ཅན་དང 	མང་བ་ཡང 	།_། 	ཁྱོད་ཀྱི 	གསུང་ནི 	དེ	་ལྟ་བུ 	།_། 	ཁྱོད་ཀྱི 	དགྲ་བོ 	-ས 	bstod tshogs ka_.txt	ཅན་དང  མང་བ་ཡང  །_།  ཁྱོད་ཀྱི  གསུང་ནི  དེ ་ལྟ་བུ  །_།  ཁྱོད་ཀྱི  དགྲ་བོ  -ས 
།_།  དེ  བས 	གང 	ཕྱིར 	བསམ་པ 	སྣ་ཚོགས་པ 	།_། 	དེ 	བས 	ཐབས་ལ 	མཁས་པ་ཡིས 	།_། 	སྐྱེས 	bstod tshogs ka_.txt	གང  ཕྱིར  བསམ་པ  སྣ་ཚོགས་པ  །_།  དེ  བས  ཐབས་ལ  མཁས་པ་ཡིས  །_།  སྐྱེས 
 དེ ་གཉིས 						དེ	་གཉིས 	ལྡན་པ་དག 	_། 	ཐམས་ཅད 	རོ་གཅིག 	bstod tshogs ka_.txt	     དེ ་གཉིས  ལྡན་པ་དག  _།  ཐམས་ཅད  རོ་གཅིག 
།_།  དེ ་ཡིས 	།_། 	ཕྲིན་ལས 	རྣམས་ཀྱང 	རབ་ཏུ་བཟོ 	།_། 	དེ	་ཡིས 	རིན་ཆེན 	གསུང 	རྣམས་ཀྱི 	།_། 	bstod tshogs ka_.txt	།_།  ཕྲིན་ལས  རྣམས་ཀྱང  རབ་ཏུ་བཟོ  །_།  དེ ་ཡིས  རིན་ཆེན  གསུང  རྣམས་ཀྱི  །_། 
།_།  དེ ་ལས 	ཞལ 	བལྟ་ན 	རབ 	སྡུག་པ 	།_། 	དེ	་ལས 	མཉན་ན 	སྙན་པ་ཡི 	།_། 	གསུང 	bstod tshogs ka_.txt	ཞལ  བལྟ་ན  རབ  སྡུག་པ  །_།  དེ ་ལས  མཉན་ན  སྙན་པ་ཡི  །_།  གསུང 
།_།  དེ  བཞིན་ལས 	།_། 	རྣམ་པ 	སྣ་ཚོགས 	བསྟན་པ་ཡིས 	།_། 	དེ 	བཞིན་ལས 	བདག 	གི 	-ར 	བྱ་བ 	bstod tshogs ka_.txt	།_།  རྣམ་པ  སྣ་ཚོགས  བསྟན་པ་ཡིས  །_།  དེ  བཞིན་ལས  བདག  གི  -ར  བྱ་བ 
།_།  དེ  ལྟར 	བདེ 	གཤེགས་དགྲ 	བཅོམ 	སངས་རྒྱས་དང 	།_། 	དེ 	ལྟར 	རྟོགས 	ཉིད 	ཕུན་ཚོགས་པའི 	།_། 	bstod tshogs ka_.txt	བདེ  གཤེགས་དགྲ  བཅོམ  སངས་རྒྱས་དང  །_།  དེ  ལྟར  རྟོགས  ཉིད  ཕུན་ཚོགས་པའི  །_། 
 དེ ན 						དེ	ན 	གསུང 	སུ 	-ས 	རྟོགས་འགྱུར 	bstod tshogs ka_.txt	     དེ ན  གསུང  སུ  -ས  རྟོགས་འགྱུར 
 དེ ན 						དེ	ན 	དོན་ཕྱིར 	།_། 	རེ་ཞིག 	དང་པོ 	bstod tshogs ka_.txt	     དེ ན  དོན་ཕྱིར  །_།  རེ་ཞིག  དང་པོ 
།_།  དེ ་ནས་ཡིད་ལ 	།_། 	ཉན་པ 	རྣམས་ཀྱི 	ཡིད་འཕྲོག་མཛད 	།_། 	དེ	་ནས་ཡིད་ལ 	བསམས 	བགྱིས་ན 	།_། 	རྡུལ་དང 	bstod tshogs ka_.txt	།_།  ཉན་པ  རྣམས་ཀྱི  ཡིད་འཕྲོག་མཛད  །_།  དེ ་ནས་ཡིད་ལ  བསམས  བགྱིས་ན  །_།  རྡུལ་དང 
 དེ ་བ 						དེ	་བ 	ཅན 	དག 	སྐྱོ 	བགྱིད་ལས 	bstod tshogs ka_.txt	     དེ ་བ  ཅན  དག  སྐྱོ  བགྱིད་ལས 
།_།  དེ ་ལས 	-འི 	རང་བཞིན 	སྐྱེད 	མཛད་ཅིང 	།_། 	དེ	་ལས 	ལྡང་བ 	-འི 	དུས་སུ་ནི 	།_། 	bstod tshogs ka_.txt	-འི  རང་བཞིན  སྐྱེད  མཛད་ཅིང  །_།  དེ ་ལས  ལྡང་བ  -འི  དུས་སུ་ནི  །_། 
།_།  དེ  འོག་དབང་པོ 	དང་པོ 	བདེན་པ 	སྐྱེད་པ 	-ར་མཛད 	།_། 	དེ 	འོག་དབང་པོ 	-འི 	དབྱེ་བ་ཡིས 	།_། 	བསྒོམ་པ་དང་ནི 	bstod tshogs ka_.txt	དང་པོ  བདེན་པ  སྐྱེད་པ  -ར་མཛད  །_།  དེ  འོག་དབང་པོ  -འི  དབྱེ་བ་ཡིས  །_།  བསྒོམ་པ་དང་ནི 
།_།  དེ  སླད 	དགོངས་པ 	-འང 	ཀུན་ཏུ 	ཉེར་གནས་པས 	།_། 	དེ 	སླད 	ཁྱོད་ཀྱིས 	ལུང་བསྟན་ཀུན 	།_། 	ཐམས་ཅད་ལ་ཡང 	bstod tshogs ka_.txt	དགོངས་པ  -འང  ཀུན་ཏུ  ཉེར་གནས་པས  །_།  དེ  སླད  ཁྱོད་ཀྱིས  ལུང་བསྟན་ཀུན  །_།  ཐམས་ཅད་ལ་ཡང 
།_།  དེ  སླད 	མིན 	རྣམས་སུ 	མི 	འཇུག་པ 	།_། 	དེ 	སླད 	ཁྱོད 	གསུང 	དོན 	མཆིས་ཏེ 	bstod tshogs ka_.txt	མིན  རྣམས་སུ  མི  འཇུག་པ  །_།  དེ  སླད  ཁྱོད  གསུང  དོན  མཆིས་ཏེ 
 དེ ་དང 						དེ	་དང 	།_། 	ལེགས 	པར 	འབྲེལ་དང 	bstod tshogs ka_.txt	     དེ ་དང  །_།  ལེགས  པར  འབྲེལ་དང 
 དེ ་འགྲོ་མིན 						དེ	་འགྲོ་མིན 	།_། 	མི 	རྟག 	ཕན་ཚུན 	bstod tshogs ka_.txt	     དེ ་འགྲོ་མིན  །_།  མི  རྟག  ཕན་ཚུན 
 དེ  ལམ་འབྲས 	འགལ་བ་སྟེ 	།_། 				དེ 	ལམ་འབྲས 	བུ 	བསྟན་པ 	-འི་ཕྱིར 	།_། 	bstod tshogs ka_.txt	འགལ་བ་སྟེ  །_།     དེ  ལམ་འབྲས  བུ  བསྟན་པ  -འི་ཕྱིར  །_། 
 དེ ་ལྟ་བུ 	ཁྱོད་ཀྱི 	གཞུང་ལུགས 				དེ	་ལྟ་བུ 	།_། 	གཅིག་པུ 	ཕོངས་ལ 	ལྟ 	bstod tshogs ka_.txt	ཁྱོད་ཀྱི  གཞུང་ལུགས     དེ ་ལྟ་བུ  །_།  གཅིག་པུ  ཕོངས་ལ  ལྟ 
བར་ཡང་ནི  དེ ་བཞིན་བཞུགས 	བར 	སྐད་ཅིག་བཞིན 	།_། 	དམྱལ 	བར་ཡང་ནི 	དེ	་བཞིན་བཞུགས 	།_། 	འགྲོ་བ་ཡི་ནི 	དོན 	སླད་དུ 	bstod tshogs ka_.txt	བར  སྐད་ཅིག་བཞིན  །_།  དམྱལ  བར་ཡང་ནི  དེ ་བཞིན་བཞུགས  །_།  འགྲོ་བ་ཡི་ནི  དོན  སླད་དུ 
།_།  དེ  བསམས 	སྡུག 	བསྔལ་མང 	ལྟར་གང 	ལགས་པ 	།_། 	དེ 	བསམས 	ཁྱོད 	བསྟན་ངན་ན་ཡང 	།_། 	གནས 	bstod tshogs ka_.txt	སྡུག  བསྔལ་མང  ལྟར་གང  ལགས་པ  །_།  དེ  བསམས  ཁྱོད  བསྟན་ངན་ན་ཡང  །_།  གནས 
 དེ ་བ་ཆུང 						དེ	་བ་ཆུང 	བྱེད་པའི 	།_། 	མི་ཡི 	བདག་པོ 	bstod tshogs ka_.txt	     དེ ་བ་ཆུང  བྱེད་པའི  །_།  མི་ཡི  བདག་པོ 
 དེ ་དང 						དེ	་དང 	ཞི་བ་དང 	།_། 	ཁྱོད་ཀྱི 	ཡོན་ཏན 	bstod tshogs ka_.txt	     དེ ་དང  ཞི་བ་དང  །_།  ཁྱོད་ཀྱི  ཡོན་ཏན 
 དེ  ཆགས་སྡང 						དེ 	ཆགས་སྡང 	མེད་པ 	-འི་ཕྱིར 	།_། 	དཔའ་བོ 	bstod tshogs ka_.txt	     དེ  ཆགས་སྡང  མེད་པ  -འི་ཕྱིར  །_།  དཔའ་བོ 
།_།  དེ  སླད་དེ་ཡི 	མེད 	མྱ་ངན 	འདས 	མི་འཐད 	།_། 	དེ 	སླད་དེ་ཡི 	མི 	མཐུན་པ 	།_། 	འཆི 	bstod tshogs ka_.txt	མེད  མྱ་ངན  འདས  མི་འཐད  །_།  དེ  སླད་དེ་ཡི  མི  མཐུན་པ  །_།  འཆི 
།_།  དེ ་ལས 	སྲ 	-ས་ཀྱིས་ཀྱང 	དབང 	ཐོབ་ཕྱིར 	།_། 	དེ	་ལས 	འདི་ནི 	ཁྱད 	ཆེས་འཕགས 	།_། 	bstod tshogs ka_.txt	སྲ  -ས་ཀྱིས་ཀྱང  དབང  ཐོབ་ཕྱིར  །_།  དེ ་ལས  འདི་ནི  ཁྱད  ཆེས་འཕགས  །_། 
།_།  དེ ར་ཡང 	གང་དུ 	བདུད་ཀྱིས 	མི 	རྫི་བ 	།_། 	དེ	ར་ཡང 	དགའ་མགུ 	-ར 	རབ་ཏུ་མཆི 	།_། 	bstod tshogs ka_.txt	གང་དུ  བདུད་ཀྱིས  མི  རྫི་བ  །_།  དེ ར་ཡང  དགའ་མགུ  -ར  རབ་ཏུ་མཆི  །_། 
།_།  དེ  ལྟར 	དྲང 	སྲོང 	སྐྱེས་མཆོག 	ཁྱོད་ཀྱི་བསྟན 	།_། 	དེ 	ལྟར 	ལེགས་པ 	-ས 	ཁྱབ 	འདི་ལ 	bstod tshogs ka_.txt	དྲང  སྲོང  སྐྱེས་མཆོག  ཁྱོད་ཀྱི་བསྟན  །_།  དེ  ལྟར  ལེགས་པ  -ས  ཁྱབ  འདི་ལ 
 དེ ་ལས་ནི 	།_། 	མ 	གུས་གང 	ལགས 		དེ	་ལས་ནི 	།_། 	སྡུག 	བསྔལ 	ཆེན་པོ 	bstod tshogs ka_.txt	།_།  མ  གུས་གང  ལགས   དེ ་ལས་ནི  །_།  སྡུག  བསྔལ  ཆེན་པོ 
།_།  དེ  ལྟར་ཡང་ནི 	འགྲོ་བ 	རྣམས་ལ 	སྨོན 	མཛད་པ 	།_། 	དེ 	ལྟར་ཡང་ནི 	དོན་ལྡན་འཁུམས 	།_། 	ཁྱོད 	ཐོས་པ 	bstod tshogs ka_.txt	འགྲོ་བ  རྣམས་ལ  སྨོན  མཛད་པ  །_།  དེ  ལྟར་ཡང་ནི  དོན་ལྡན་འཁུམས  །_།  ཁྱོད  ཐོས་པ 
 དེ ་བ 						དེ	་བ 	སྒྲུབ་པ 	-འི་ཕྱིར 	།_། 	ཁྱོད་ཀྱི 	bstod tshogs ka_.txt	     དེ ་བ  སྒྲུབ་པ  -འི་ཕྱིར  །_།  ཁྱོད་ཀྱི 
།_།  དེ ་ལས 	།_། 	གལ་ཏེ 	ཁྱོད་ནི་བདེ 	མཛད་ན 	།_། 	དེ	་ལས 	ངོ་མཚར 	མ 	མཆིས་ལགས 	།_། 	bstod tshogs ka_.txt	།_།  གལ་ཏེ  ཁྱོད་ནི་བདེ  མཛད་ན  །_།  དེ ་ལས  ངོ་མཚར  མ  མཆིས་ལགས  །_། 
_།  དེ  བཞིན 	ཤེས་པ 	-ས 	རྣམ་པ 	-ར་འདག 	_། 	དེ 	བཞིན 	སྐྱབས་འགྲོ 	ལེན་པ་དང 	།_། 	སྦྱིན་དང 	bstod tshogs ka_.txt	ཤེས་པ  -ས  རྣམ་པ  -ར་འདག  _།  དེ  བཞིན  སྐྱབས་འགྲོ  ལེན་པ་དང  །_།  སྦྱིན་དང 
 དེ ་བ 						དེ	་བ 	-ར་འགྱུར 	།_། 	གླགས 	སྐབས 	bstod tshogs ka_.txt	     དེ ་བ  -ར་འགྱུར  །_།  གླགས  སྐབས 
བཞིན་དུ  དེ ་བཞིན་ཁྱོད 	གདུང་བ་དང 	ལྡན་ཕྱིར 	།_། 	སྨན་པ 	བཞིན་དུ 	དེ	་བཞིན་ཁྱོད 	།_། 	ཚུལ 	ཁྲིམས 	ཕུན 	bstod tshogs ka_.txt	གདུང་བ་དང  ལྡན་ཕྱིར  །_།  སྨན་པ  བཞིན་དུ  དེ ་བཞིན་ཁྱོད  །_།  ཚུལ  ཁྲིམས  ཕུན 
 དེ ་ནི 						དེ	་ནི 	ངོ་མཚར་ཅི 	།_། 	ཁྱོད 	སྐུ 	bstod tshogs ka_.txt	     དེ ་ནི  ངོ་མཚར་ཅི  །_།  ཁྱོད  སྐུ 
 དེ ་ལ་ཡང 						དེ	་ལ་ཡང 	།_། 	མཚར 	མིན 	གང་ཞིག 	bstod tshogs ka_.txt	     དེ ་ལ་ཡང  །_།  མཚར  མིན  གང་ཞིག 
།_།  དེ  ལ་དུ 	ངན་འགྲོ 	-ར 	ལྟུང 	མ་གྱུར 	།_། 	དེ 	ལ་དུ 	-ས 	ངེས 	བསྟན་པ་ལ 	།_། 	bstod tshogs ka_.txt	ངན་འགྲོ  -ར  ལྟུང  མ་གྱུར  །_།  དེ  ལ་དུ  -ས  ངེས  བསྟན་པ་ལ  །_། 
།_།  དེ ་ལ 	དུད 	འགྲོ་དང་ནི 	གཞན 	མིན་འགྱུར 	།_། 	དེ	་ལ 	དྲིན 	སོགས 	མཚར་བ་ལགས 	།_། 	bstod tshogs ka_.txt	དུད  འགྲོ་དང་ནི  གཞན  མིན་འགྱུར  །_།  དེ ་ལ  དྲིན  སོགས  མཚར་བ་ལགས  །_། 
 དེ  ཕྱིར 						དེ 	ཕྱིར 	སྙིང་དུ་སྡུག 	_། 	ཞི 	ཕྱིར 	bstod tshogs ka_.txt	     དེ  ཕྱིར  སྙིང་དུ་སྡུག  _།  ཞི  ཕྱིར 
 དེ ་ལ་ཡང 						དེ	་ལ་ཡང 	།_། 	གནས 	མིན 	འཇིག་རྟེན 	bstod tshogs ka_.txt	     དེ ་ལ་ཡང  །_།  གནས  མིན  འཇིག་རྟེན 
 དེ བས 						དེ	བས 	།_། 	ཞི 	གནས 	ངེས་པ 	bstod tshogs ka_.txt	     དེ བས  །_།  ཞི  གནས  ངེས་པ 
 དེ ན་ལ 						དེ	ན་ལ 	སྦྱར་བ 	-ར་མཛད 	།_། 	བསྒོམ་པ 	bstod tshogs ka_.txt	     དེ ན་ལ  སྦྱར་བ  -ར་མཛད  །_།  བསྒོམ་པ 
།_།  དེ  སླད 	དམུ 	རྒོད 	རྣམས་ལ 	བཏང་སྙོམས་མཛད 	།_། 	དེ 	སླད 	སྐྱེས་བུ 	འདུལ་བ་ཡི 	།_། 	ཁ 	bstod tshogs ka_.txt	དམུ  རྒོད  རྣམས་ལ  བཏང་སྙོམས་མཛད  །_།  དེ  སླད  སྐྱེས་བུ  འདུལ་བ་ཡི  །_།  ཁ 
 དེ ་ལ 						དེ	་ལ 	བཏང་སྙོམས་མིན 	།_། 	ཕན་པ 	-འི 	bstod tshogs ka_.txt	     དེ ་ལ  བཏང་སྙོམས་མིན  །_།  ཕན་པ  -འི 
 དེ  བར་གནས་ལ 						དེ 	བར་གནས་ལ 	ཕན་པ 	-ར་བགྱིད 	།_། 	ཕོངས 	bstod tshogs ka_.txt	     དེ  བར་གནས་ལ  ཕན་པ  -ར་བགྱིད  །_།  ཕོངས 
།_།  དེ ་ནི 	།_། 	གང་ཞིག 	བར་མ་ལ 	ཕན་བཞེད 	།_། 	དེ	་ནི 	ཤིན་ཏུ 	ངོ་མཚར་མིན 	།_། 	གང་ཞིག 	bstod tshogs ka_.txt	།_།  གང་ཞིག  བར་མ་ལ  ཕན་བཞེད  །_།  དེ ་ནི  ཤིན་ཏུ  ངོ་མཚར་མིན  །_།  གང་ཞིག 
།_།  དེ  རྣམས 	ཐར་པ 	-འི 	ས་བོན 	ཇི་ལྟར་ཡང 	།_། 	དེ 	རྣམས 	དགེ་བ་ལ 	བཙུད་ནས 	།_། 	དུས 	bstod tshogs ka_.txt	ཐར་པ  -འི  ས་བོན  ཇི་ལྟར་ཡང  །_།  དེ  རྣམས  དགེ་བ་ལ  བཙུད་ནས  །_།  དུས 
།_།  དེ ་ནས 	ལྟ་བུ 	-ར 	གྱུར་པ 	-འང་ཁྱོད 	།_། 	དེ	་ནས 	ཇི་ལྟར 	སྣོད 	གྱུར་པའི 	།_། 	bstod tshogs ka_.txt	ལྟ་བུ  -ར  གྱུར་པ  -འང་ཁྱོད  །_།  དེ ་ནས  ཇི་ལྟར  སྣོད  གྱུར་པའི  །_། 
།_།  དེ ་ལས 	ཁྱོད་ཀྱིས 	ཤེས་རབ 	སྣང་བ 	-ར་མཛད 	།_། 	དེ	་ལས 	ཐ 	དད 	མེད་པ་ཡིས 	།_། 	bstod tshogs ka_.txt	ཁྱོད་ཀྱིས  ཤེས་རབ  སྣང་བ  -ར་མཛད  །_།  དེ ་ལས  ཐ  དད  མེད་པ་ཡིས  །_། 
།_།  དེ ་ལ 	བསྟན་པ 	-ར 	རབ 	བཙུད་ན 	།_། 	དེ	་ལ 	ཐར་པ 	-འི 	རྒྱུ 	བཅས་ལ 	bstod tshogs ka_.txt	བསྟན་པ  -ར  རབ  བཙུད་ན  །_།  དེ ་ལ  ཐར་པ  -འི  རྒྱུ  བཅས་ལ 
།_།  དེ  ལྟར 	།_། 	ཁྱོད་ཀྱི 	ལྟོས་པ 	བསལ་ནས་ནི 	།_། 	དེ 	ལྟར 	ཡོན་ཏན 	འཕགས 	འདྲེན་པ 	།_། 	bstod tshogs ka_.txt	།_།  ཁྱོད་ཀྱི  ལྟོས་པ  བསལ་ནས་ནི  །_།  དེ  ལྟར  ཡོན་ཏན  འཕགས  འདྲེན་པ  །_། 
 དེ  ཐོབ་པའི 						དེ 	ཐོབ་པའི 	།_། 	ཡུལ 	དག 	སྤངས་པ 	bstod tshogs ka_.txt	     དེ  ཐོབ་པའི  །_།  ཡུལ  དག  སྤངས་པ 
།_།  དེ ས་ན 	ཉིང 	ཁུར 	གྱུར་པ 	བྱུང་བ་བརྗིད 	།_། 	དེ	ས་ན 	མི་ཡང 	ལྷ 	རྣམས་ཀྱི 	།_། 	bstod tshogs ka_.txt	ཉིང  ཁུར  གྱུར་པ  བྱུང་བ་བརྗིད  །_།  དེ ས་ན  མི་ཡང  ལྷ  རྣམས་ཀྱི  །_། 
 དེ  ཉམས 						དེ 	ཉམས 	གྱུར་དང 	།_། 	སྐྱེ་བོ་ངན་དང 	འགྲོགས་པ་དང 	bstod tshogs ka_.txt	     དེ  ཉམས  གྱུར་དང  །_།  སྐྱེ་བོ་ངན་དང  འགྲོགས་པ་དང 
 དེ  རྨད་དོ 						དེ 	རྨད་དོ 	།_། 	ཞི 	གནས 	བདེ་བ 	bstod tshogs ka_.txt	     དེ  རྨད་དོ  །_།  ཞི  གནས  བདེ་བ 
 དེ  ངོ་མཚར་མིན 						དེ 	ངོ་མཚར་མིན 	།_། 	ཁྱོད་ཀྱིས 	ཞི་གནས 	ཐོབ་པ་ཡང 	bstod tshogs ka_.txt	     དེ  ངོ་མཚར་མིན  །_།  ཁྱོད་ཀྱིས  ཞི་གནས  ཐོབ་པ་ཡང 
།_།  དེ  ཉིད་ཀྱིས་ནི 	།_། 	གཞན 	རྣམས་ལ་ནི 	ཕན་པ་མཛད 	།_། 	དེ 	ཉིད་ཀྱིས་ནི 	མི 	འགྲང་བའི 	།_། 	མི 	bstod tshogs ka_.txt	།_།  གཞན  རྣམས་ལ་ནི  ཕན་པ་མཛད  །_།  དེ  ཉིད་ཀྱིས་ནི  མི  འགྲང་བའི  །_།  མི 
།_།  དེ ་ནི 	མང་པོ 	-འི 	རང་དོན 	མཐར་ཐུག་དང 	།_། 	དེ	་ནི 	ཁྱོད་ཀྱི 	ཆེ་བ་ལགས 	།_། 	དེ་ལ 	bstod tshogs ka_.txt	མང་པོ  -འི  རང་དོན  མཐར་ཐུག་དང  །_།  དེ ་ནི  ཁྱོད་ཀྱི  ཆེ་བ་ལགས  །_།  དེ་ལ 
 དེ  ལྟ 	མངོན་འདོད 	དོན་ལ་ཡང 	།_། 			དེ 	ལྟ 	-འི 	སྡུག་བསྔལ 	སྡོམ་པ་མཛད 	།_། 	bstod tshogs ka_.txt	མངོན་འདོད  དོན་ལ་ཡང  །_།    དེ  ལྟ  -འི  སྡུག་བསྔལ  སྡོམ་པ་མཛད  །_། 
།_།  དེ  ཚེ 	།_། 	ལྕི་དང 	ཆ་ལུགས་ཡང 	དགོངས་པའང 	།_། 	དེ 	ཚེ 	ཁྱོད 	ལ་ག་ལ་སྟེ 	།_། 	གང 	bstod tshogs ka_.txt	།_།  ལྕི་དང  ཆ་ལུགས་ཡང  དགོངས་པའང  །_།  དེ  ཚེ  ཁྱོད  ལ་ག་ལ་སྟེ  །_།  གང 
།_།  དེ  བཞིན 	ཁྱོད 	ཡོན 	ཕྲག་དོག་གིས 	གདུངས་དང 	།_། 	དེ 	བཞིན 	རྒྱུ 	མེད 	དགྲ་བོ་ལ 	།_། 	bstod tshogs ka_.txt	ཁྱོད  ཡོན  ཕྲག་དོག་གིས  གདུངས་དང  །_།  དེ  བཞིན  རྒྱུ  མེད  དགྲ་བོ་ལ  །_། 
མཛད  དེ ་ལྟ་བུ 	།_། 	ཕན་པ 	ལྷུ 	-ར 	མཛད 	དེ	་ལྟ་བུ 	།_། 	སྐྱེ་བོ 	དག་ནི 	ཕན 	bstod tshogs ka_.txt	།_།  ཕན་པ  ལྷུ  -ར  མཛད  དེ ་ལྟ་བུ  །_།  སྐྱེ་བོ  དག་ནི  ཕན 
 དེ ་ལྟར 	བགྱིད་ལའང 	།_། 	ཕན་པ 			དེ	་ལྟར 	ལྷུ 	-ར 	མི་བགྱིད 	།_། 	bstod tshogs ka_.txt	བགྱིད་ལའང  །_།  ཕན་པ    དེ ་ལྟར  ལྷུ  -ར  མི་བགྱིད  །_། 
